Server Partion Basic_size(GB) Free_size(GB) F_Percentage Share_name Share_path
Server Partion Basic_size(GB) Free_size(GB) F_Percentage Share_name Share_path
idmt-filec H: 683.08 213.45 31.24% ExamW G:\Resource\Exam\uploads\W
idmt-filec H: 683.08 213.45 31.24% cmr E:\Groups\cmr
idmt-filec H: 683.08 213.45 31.24% Resource_invitee H:\Resource_invitee
idmt-filec H: 683.08 213.45 31.24% Lib_Scratch G:\Resource\Lib_Scratch
idmt-filec H: 683.08 213.45 31.24% web E:\Groups\web
idmt-filec H: 683.08 213.45 31.24% Resource_Evaluate H:\Resource_Evaluate
idmt-filec H: 683.08 213.45 31.24% develope E:\Groups\develope
idmt-filec H: 683.08 213.45 31.24% ExamA G:\Resource\Exam\uploads\A
idmt-filec H: 683.08 213.45 31.24% Daily_LR F:\Dailies\LORDoftheRINGS
idmt-filec H: 683.08 213.45 31.24% Dailies F:\Dailies
idmt-filec H: 683.08 213.45 31.24% ExamO G:\Resource\Exam\uploads\O
idmt-filec H: 683.08 213.45 31.24% Lib_Final G:\Resource\Lib_Final
idmt-filed F: 4655.06 1203.58 25.85% DB_BK F:\Projects\DB_BK
idmt-filed F: 4655.06 1203.58 25.85% EditBack3 F:\Editback3
idmt-filee G: 2794.52 1759.33 62.95% SS_MOV G:\Projects\SS_MOV
idmt-filee G: 2794.52 1759.33 62.95% NG_MOV_ODD G:\Projects\NG_MOV_ODD
idmt-filee G: 2794.52 1759.33 62.95% Study_Video002 G:\Resource\Video002
idmt-filee G: 2794.52 1759.33 62.95% Scenes F:\Scenes
idmt-filee G: 2794.52 1759.33 62.95% TM_Pre_Comp G:\Projects\TM_Pre_Comp
idmt-filee G: 2794.52 1759.33 62.95% TM_Fina_Comp G:\Projects\TM_Fina_Comp
idmt-filee G: 2794.52 1759.33 62.95% LR_POST_P G:\Projects\LR_POST_P
idmt-filef F: 1397.26 862.31 61.71% DiveollyDive2 F:\Projects\DiveollyDive2
idmt-filef F: 1397.26 862.31 61.71% TB_Reference J:\Projects\Tofuboy\Reference
idmt-filef F: 1397.26 862.31 61.71% wo_project_data G:\Projects\woodlies\project\data
idmt-filef F: 1397.26 862.31 61.71% SS_data J:\Projects\ShenShou\Project\data
idmt-filef F: 1397.26 862.31 61.71% TB_Post J:\Projects\Tofuboy\Post_Production
idmt-filef F: 1397.26 862.31 61.71% SS_Project J:\Projects\ShenShou\Project
idmt-filef F: 1397.26 862.31 61.71% WuXing G:\Projects\WuXing
idmt-filef F: 1397.26 862.31 61.71% CB_Project_data G:\Projects\ChangBaiShan\Project\data
idmt-filef F: 1397.26 862.31 61.71% RR_Project J:\Projects\RainbowRiders\Project
idmt-filef F: 1397.26 862.31 61.71% TM_Pre_Comp G:\Projects\TM_Pre_Comp
idmt-filef F: 1397.26 862.31 61.71% Ninjago_Project F:\Projects\Ninjago\Project
idmt-filef F: 1397.26 862.31 61.71% CB_sourceimages G:\Projects\ChangBaiShan\Project\sourceimages
idmt-filef F: 1397.26 862.31 61.71% TM_Fina_Comp G:\Projects\TM_Fina_Comp
idmt-filef G: 1397.26 970.41 69.45% DiveollyDive2 F:\Projects\DiveollyDive2
idmt-filef G: 1397.26 970.41 69.45% TB_Reference J:\Projects\Tofuboy\Reference
idmt-filef G: 1397.26 970.41 69.45% wo_project_data G:\Projects\woodlies\project\data
idmt-filef G: 1397.26 970.41 69.45% SS_data J:\Projects\ShenShou\Project\data
idmt-filef G: 1397.26 970.41 69.45% TB_Post J:\Projects\Tofuboy\Post_Production
idmt-filef G: 1397.26 970.41 69.45% SS_Project J:\Projects\ShenShou\Project
idmt-filef G: 1397.26 970.41 69.45% WuXing G:\Projects\WuXing
idmt-filef G: 1397.26 970.41 69.45% CB_Project_data G:\Projects\ChangBaiShan\Project\data
idmt-filef G: 1397.26 970.41 69.45% RR_Project J:\Projects\RainbowRiders\Project
idmt-filef G: 1397.26 970.41 69.45% TM_Pre_Comp G:\Projects\TM_Pre_Comp
idmt-filef G: 1397.26 970.41 69.45% Ninjago_Project F:\Projects\Ninjago\Project
idmt-filef G: 1397.26 970.41 69.45% CB_sourceimages G:\Projects\ChangBaiShan\Project\sourceimages
idmt-filef G: 1397.26 970.41 69.45% TM_Fina_Comp G:\Projects\TM_Fina_Comp
idmt-filef J: 2794.52 1816.37 64.99% DiveollyDive2 F:\Projects\DiveollyDive2
idmt-filef J: 2794.52 1816.37 64.99% TB_Reference J:\Projects\Tofuboy\Reference
