Server Partion Basic_size(GB) Free_size(GB) F_Percentage Share_name Share_path
Server Partion Basic_size(GB) Free_size(GB) F_Percentage Share_name Share_path
idmt-filew F: 2794.52 2062.95 73.82% HM_Render F:\projects\HeartBroken\Production\Render
idmt-filew F: 2794.52 2062.95 73.82% HM_Project F:\projects\HeartBroken\Project
idmt-filex F: 1397.26 772.19 55.26% ROMA_MOV F:\Projects\ROMA\Production\Render\MOV
idmt-filex F: 1397.26 772.19 55.26% ROMA_Post_Production F:\Projects\ROMA\Post_Production
idmt-filex F: 1397.26 772.19 55.26% RenderProjects G:\Projects\RenderProjects
idmt-filex F: 1397.26 772.19 55.26% ROMA_data F:\Projects\ROMA\PRJ_roma\data
idmt-filex F: 1397.26 772.19 55.26% LR_MOV G:\Projects\LR_MOV
idmt-filex F: 1397.26 772.19 55.26% SideProjects G:\Projects\SideProjects
idmt-filex F: 1397.26 772.19 55.26% ROMA_Reference F:\Projects\ROMA\Reference
idmt-filex F: 1397.26 772.19 55.26% MT_Project F:\Projects\MayaTheBee\Project
idmt-filex G: 1397.26 979.39 70.09% ROMA_MOV F:\Projects\ROMA\Production\Render\MOV
idmt-filex G: 1397.26 979.39 70.09% ROMA_Post_Production F:\Projects\ROMA\Post_Production
idmt-filex G: 1397.26 979.39 70.09% RenderProjects G:\Projects\RenderProjects
idmt-filex G: 1397.26 979.39 70.09% ROMA_data F:\Projects\ROMA\PRJ_roma\data
idmt-filex G: 1397.26 979.39 70.09% LR_MOV G:\Projects\LR_MOV
idmt-filex G: 1397.26 979.39 70.09% SideProjects G:\Projects\SideProjects
idmt-filex G: 1397.26 979.39 70.09% ROMA_Reference F:\Projects\ROMA\Reference
idmt-filex G: 1397.26 979.39 70.09% MT_Project F:\Projects\MayaTheBee\Project
idmt-filey F: 6053.47 5091.07 84.10% ot_project_data F:\Projects\OTTO\Project\data
idmt-filey F: 6053.47 5091.07 84.10% TM_Test_Comp F:\Projects\TM_Test_Comp
idmt-filey F: 6053.47 5091.07 84.10% ROMA_comp_ODD F:\Projects\ROMA_comp_ODD
idmt-filey F: 6053.47 5091.07 84.10% GT_Proj_data F:\Projects\GummiTarzan\Proj_data
idmt-filez F: 6053.47 2876.37 47.51% CB_Post_P F:\Projects\ChangBaiShan\Post_Production
idmt-filez F: 6053.47 2876.37 47.51% Ninjago_Project F:\Projects\Ninjago\Project
idmt-filez F: 6053.47 2876.37 47.51% RR_POST_P F:\Projects\RR_POST_P
idmt-filez F: 6053.47 2876.37 47.51% ROMA_COMP_EVEN F:\Projects\ROMA_COMP_EVEN
idmt-filez F: 6053.47 2876.37 47.51% CB_Reference F:\Projects\ChangBaiShan\Reference
idmt-filez F: 6053.47 2876.37 47.51% Ninjago_Post_Production F:\Projects\Ninjago\Post_Production
idmt-file01 E: 5799.87 1964.23 33.86% WO_Images E:\Projects\WO_Images
idmt-file01 E: 5799.87 1964.23 33.86% restore E:\restore
idmt-file01 E: 5799.87 1964.23 33.86% ROMA_Lpasses_EVEN E:\Projects\ROMA_Lpasses_EVEN
idmt-file01 E: 5799.87 1964.23 33.86% ROMA_Lpasses_ODD E:\Projects\ROMA_Lpasses_ODD
idmt-file01 E: 5799.87 1964.23 33.86% GT_Images E:\Projects\GT_Images
idmt-file01 E: 5799.87 1964.23 33.86% OT_Images E:\Projects\OT_Images
idmt-file02 E: 6109.70 3488.71 57.10% MT_Project E:\Projects\MayaTheBee\Project
idmt-file02 E: 6109.70 3488.71 57.10% ROMA_Lpasses_EVEN E:\Projects\ROMA_Lpasses_EVEN
idmt-file02 E: 6109.70 3488.71 57.10% ROMA_Lpasses_ODD E:\Projects\ROMA_Lpasses_ODD
idmt-file02 E: 6109.70 3488.71 57.10% texMirrow5 E:\texMirrow5
idmt-file02 E: 6109.70 3488.71 57.10% WO_Compositing E:\Projects\WO_Compositing
idmt-file03 F: 12102.87 9504.61 78.53% Maya_User_Info E:\Maya_User_Info
idmt-file03 F: 12102.87 9504.61 78.53% Maya_Odd F:\Maya_Odd
idmt-file03 F: 12102.87 9504.61 78.53% 3Deffects G:\3Deffects
idmt-file03 F: 12102.87 9504.61 78.53% ROMA_temp_20101213 F:\ROMA_temp_20101213
idmt-file03 F: 12102.87 9504.61 78.53% NG_Image_EVEN F:\Projects\Ninjago\NG_Image_EVEN
idmt-file03 F: 12102.87 9504.61 78.53% wo_Reference F:\Projects\Woodlies\Reference
idmt-file03 G: 931.51 0.69 0.073% Maya_User_Info E:\Maya_User_Info
idmt-file03 G: 931.51 0.69 0.073% Maya_Odd F:\Maya_Odd
idmt-file03 G: 931.51 0.69 0.073% 3Deffects G:\3Deffects
idmt-file03 G: 931.51 0.69 0.073% ROMA_temp_20101213 F:\ROMA_temp_20101213
idmt-file03 G: 931.51 0.69 0.073% NG_Image_EVEN F:\Projects\Ninjago\NG_Image_EVEN
idmt-file03 G: 931.51 0.69 0.073% wo_Reference F:\Projects\Woodlies\Reference
idmt-file04 F: 12106.23 6209.74 51.29% SS_Images F:\Projects\SS_Images
idmt-file04 F: 12106.23 6209.74 51.29% TM_passes G:\Projects\TM_passes
idmt-file04 F: 12106.23 6209.74 51.29% CB_Compositing F:\Projects\CB_Compositing
idmt-file04 F: 12106.23 6209.74 51.29% DOD2_HD_Final G:\DOD2_HD_Final
idmt-file04 F: 12106.23 6209.74 51.29% texMirrow3 G:\texMirrow3
idmt-file04 F: 12106.23 6209.74 51.29% ZJMC F:\Projects\ZJMC
idmt-file04 F: 12106.23 6209.74 51.29% roma_rending_temp F:\roma_rending_temp
idmt-file04 F: 12106.23 6209.74 51.29% NG_COMP_ODD G:\Projects\Ninjago\NG_COMP_ODD
idmt-file04 F: 12106.23 6209.74 51.29% Backup G:\Backup
idmt-file04 G: 12106.23 6902.73 57.01% SS_Images F:\Projects\SS_Images
idmt-file04 G: 12106.23 6902.73 57.01% TM_passes G:\Projects\TM_passes
idmt-file04 G: 12106.23 6902.73 57.01% CB_Compositing F:\Projects\CB_Compositing
idmt-file04 G: 12106.23 6902.73 57.01% DOD2_HD_Final G:\DOD2_HD_Final
idmt-file04 G: 12106.23 6902.73 57.01% texMirrow3 G:\texMirrow3
idmt-file04 G: 12106.23 6902.73 57.01% ZJMC F:\Projects\ZJMC
idmt-file04 G: 12106.23 6902.73 57.01% roma_rending_temp F:\roma_rending_temp
idmt-file04 G: 12106.23 6902.73 57.01% NG_COMP_ODD G:\Projects\Ninjago\NG_COMP_ODD
idmt-file04 G: 12106.23 6902.73 57.01% Backup G:\Backup
idmt-file05 F: 13030.94 8506.14 65.27% BuzbyAndDizzy F:\Projects\BuzbyAndDizzy
idmt-file05 F: 13030.94 8506.14 65.27% CB_Images F:\Projects\CB_Images
idmt-file05 F: 13030.94 8506.14 65.27% Daily_OTTO F:\Dailies\Daily_OTTO
idmt-file05 F: 13030.94 8506.14 65.27% Daily_Roma F:\Dailies\Daily_Roma
idmt-file05 F: 13030.94 8506.14 65.27% DingDingBabies F:\Projects\DingDingBabies
idmt-file05 F: 13030.94 8506.14 65.27% Domestic_market F:\Resource\Groups\Domestic_market
idmt-file05 F: 13030.94 8506.14 65.27% GT_MOV F:\Projects\GT_MOV
idmt-file05 F: 13030.94 8506.14 65.27% NG_Image_ODD F:\Projects\Ninjago\NG_Image_ODD
idmt-file05 F: 13030.94 8506.14 65.27% RM_texMirrow2 F:\Projects\RM_texMirrow2
idmt-file05 F: 13030.94 8506.14 65.27% SK_Post_P F:\Projects\Strawberry\Post_Production
idmt-file05 F: 13030.94 8506.14 65.27% SK_Reference F:\Projects\Strawberry\Reference
idmt-file05 F: 13030.94 8506.14 65.27% TM_Passes F:\Projects\TM_Passes
serverone F: 2794.52 1134.89 40.61% MC_roma F:\Projects\ROMA\MC_roma
serverone F: 2794.52 1134.89 40.61% CB_Project F:\Projects\ChangBaiShan\Project
serverone F: 2794.52 1134.89 40.61% WO_Project F:\Projects\Woodlies\Project
serverone F: 2794.52 1134.89 40.61% OT_sourceimages F:\Projects\OTTO\Project\sourceimages
serverone F: 2794.52 1134.89 40.61% GT_sourceimages F:\Projects\GummiTarzan\project\sourceimages
SZ-DC2 G: 931.00 206.06 22.13% LR_Exchange G:\LR_Exchange
SZ-DC2 G: 931.00 206.06 22.13% NG_Reference G:\Projects\NG_Reference
idmt-ENGINE18 F: 5587.37 2709.25 48.48% GT_Project F:\Projects\GummiTarzan\Project
idmt-ENGINE18 F: 5587.37 2709.25 48.48% OT_Project F:\Projects\OTTO\Project
idmt-ENGINE18 F: 5587.37 2709.25 48.48% RM_LPS_EVEN F:\Projects\RM_LPS_EVEN
idmt-ENGINE18 F: 5587.37 2709.25 48.48% RM_LPS_ODD F:\Projects\RM_LPS_ODD
idmt-ENGINE18 F: 5587.37 2709.25 48.48% SK_MOV F:\Projects\SK_MOV
idmt-ENGINE18 I: 976.56 771.49 79.00% GT_Project F:\Projects\GummiTarzan\Project
idmt-ENGINE18 I: 976.56 771.49 79.00% OT_Project F:\Projects\OTTO\Project
idmt-ENGINE18 I: 976.56 771.49 79.00% RM_LPS_EVEN F:\Projects\RM_LPS_EVEN
idmt-ENGINE18 I: 976.56 771.49 79.00% RM_LPS_ODD F:\Projects\RM_LPS_ODD
idmt-ENGINE18 I: 976.56 771.49 79.00% SK_MOV F:\Projects\SK_MOV
idmt-ENGINE27 F: 24212.37 7354.58 30.37% CB_MOV F:\Projects\CB_MOV
idmt-ENGINE27 F: 24212.37 7354.58 30.37% editing F:\backup\editing
idmt-ENGINE27 F: 24212.37 7354.58 30.37% LR_Images F:\Projects\LR_Images
idmt-ENGINE27 F: 24212.37 7354.58 30.37% OT_MOV F:\Projects\OT_MOV
idmt-ENGINE27 F: 24212.37 7354.58 30.37% RM_LPS_EVEN F:\Projects\RM_LPS_EVEN
idmt-ENGINE27 F: 24212.37 7354.58 30.37% RM_LPS_ODD F:\Projects\RM_LPS_ODD
idmt-ENGINE27 F: 24212.37 7354.58 30.37% Roma-20120106 F:\backup\Roma-20120106
idmt-ENGINE27 F: 24212.37 7354.58 30.37% SK_Images F:\Projects\SK_Images
cq-file01 F: 2047.87 1042.68 50.91% share F:\Resource\Groups\Creation_Release\share
cq-file01 F: 2047.87 1042.68 50.91% office D:\office
cq-file01 F: 2047.87 1042.68 50.91% restore_dod1 G:\restore
cq-file01 F: 2047.87 1042.68 50.91% Creation_Release F:\Resource\Groups\Creation_Release
cq-file01 F: 2047.87 1042.68 50.91% OT_sourceimages G:\Projects\OTTO\Project\sourceimages
cq-file01 F: 2047.87 1042.68 50.91% GT_sourceimages F:\Projects\GummiTarzan\Project\sourceimages
cq-file01 F: 2047.87 1042.68 50.91% SK_Proejct_sourceimages F:\Projects\Strawberry\Project\sourceimages
cq-file01 G: 2047.87 1771.46 86.50% share F:\Resource\Groups\Creation_Release\share
cq-file01 G: 2047.87 1771.46 86.50% office D:\office
cq-file01 G: 2047.87 1771.46 86.50% restore_dod1 G:\restore
cq-file01 G: 2047.87 1771.46 86.50% Creation_Release F:\Resource\Groups\Creation_Release
cq-file01 G: 2047.87 1771.46 86.50% OT_sourceimages G:\Projects\OTTO\Project\sourceimages
cq-file01 G: 2047.87 1771.46 86.50% GT_sourceimages F:\Projects\GummiTarzan\Project\sourceimages
cq-file01 G: 2047.87 1771.46 86.50% SK_Proejct_sourceimages F:\Projects\Strawberry\Project\sourceimages
cq-file02 H: 2048.00 2028.27 99.03% LR_Reference H:\Projects\LORDoftheRINGS\Reference
cq-file02 H: 2048.00 2028.27 99.03% MT_Project I:\Projects\MayaTheBee\Project
cq-file02 H: 2048.00 2028.27 99.03% LR_sourceimages H:\Projects\LORDoftheRINGS\Project\sourceimages
cq-file02 I: 3634.76 3404.96 93.67% LR_Reference H:\Projects\LORDoftheRINGS\Reference
cq-file02 I: 3634.76 3404.96 93.67% MT_Project I:\Projects\MayaTheBee\Project
cq-file02 I: 3634.76 3404.96 93.67% LR_sourceimages H:\Projects\LORDoftheRINGS\Project\sourceimages
cq-file03 Error Error Error Error Error Error
cq-file04 Error Error Error Error Error Error
cq-file05 E: 1813.47 1599.67 88.21% Scratch E:\Scratch
cq-file06 Error Error Error Error Error Error
cq-file07 F: 6053.47 4775.01 78.88% GT_Images F:\Projects\GummiTarzan\GT_Images
cq-file07 F: 6053.47 4775.01 78.88% OT_Images F:\Projects\OT_Images
cq-file08 F: 6053.47 4365.52 72.11% MT_Project_Data F:\Projects\MayaTheBee\Project\data
cq-file08 F: 6053.47 4365.52 72.11% LR_Project F:\Projects\LORDoftheRINGS\Project
cq-file08 F: 6053.47 4365.52 72.11% MT_Project F:\Projects\MayaTheBee\Project
cq-file08 F: 6053.47 4365.52 72.11% MT_Reference F:\Projects\MayaTheBee\Reference
cq-file08 F: 6053.47 4365.52 72.11% MT_Post_P F:\Projects\MayaTheBee\Post_Production
cq-file08 F: 6053.47 4365.52 72.11% MT_Compositing F:\Projects\MayaTheBee\Production\Render\Compositing
cq-file08 F: 6053.47 4365.52 72.11% MT_MOV F:\Projects\MayaTheBee\Production\Render\MOV
cq-file08 F: 6053.47 4365.52 72.11% MT_Images F:\Projects\MayaTheBee\Production\Render\Images
cq-file08 F: 6053.47 4365.52 72.11% MT_005_EPISODES_Caches F:\Projects\MayaTheBee\Project\scenes\005_EPISODES_Caches
cq-file08 F: 6053.47 4365.52 72.11% DOD2_Compositing F:\cq-backup\DiveollyDive2\Render\Compositing
cq-file08 F: 6053.47 4365.52 72.11% GT_mov F:\Projects\GummiTarzan\GT_mov
cq-file08 F: 6053.47 4365.52 72.11% NG_MOV F:\Projects\NG_MOV
cq-file09 F: 12102.87 10683.75 88.27% GT_Compositing F:\Projects\GummiTarzan\GT_Compositing
cq-file09 F: 12102.87 10683.75 88.27% OT_Compositing F:\Projects\OT_Compositing
cq-file10 E: 12102.87 5832.34 48.18% Groups E:\Resource\Groups
cq-file10 E: 12102.87 5832.34 48.18% Study E:\Resource\Study
cq-file10 E: 12102.87 5832.34 48.18% dod2_scratch E:\cq-old\dod2_scratch
cq-file10 E: 12102.87 5832.34 48.18% cq-office E:\Resource\office
cq-file10 E: 12102.87 5832.34 48.18% cq-Photo E:\Resource\Photo
cq-file10 E: 12102.87 5832.34 48.18% Training E:\Resource\Training
cq-file10 E: 12102.87 5832.34 48.18% MT_Project E:\Projects\MayaTheBee\Project
cq-file10 E: 12102.87 5832.34 48.18% cq-Marketing E:\Resource\Marketing
cq-file10 E: 12102.87 5832.34 48.18% GT_sourceimages E:\Projects\GummiTarzan\Project\sourceimages
cq-file10 E: 12102.87 5832.34 48.18% OT_sourceimages E:\Projects\OTTO\Project\sourceimages
cq-file11 F: 18624.87 14688.59 78.86% MT_Project F:\Projects\MayaTheBee\Project
cq-file11 F: 18624.87 14688.59 78.86% TB_Project F:\Projects\Tofuboy\Project
cq-file11 F: 18624.87 14688.59 78.86% PatchPillows_Scratch F:\cq-old\cq-file04\PatchPillows_Scratch
cq-file11 F: 18624.87 14688.59 78.86% LR_Compositing F:\Projects\LR_Compositing
cq-file11 F: 18624.87 14688.59 78.86% RM_20120327 F:\Backup\RM_20120327
